img_id,label,pred,source
42953,0,0.3379678428173065,train
23058,0,0.14804720878601074,train
13894,0,0.43953683972358704,train
37408,0,0.281504362821579,train
82403,0,0.21617697179317474,train
16952,0,0.18535663187503815,train
76932,0,0.3015677034854889,train
70914,1,0.8789390921592712,train
2973,0,0.4884740710258484,train
58306,0,0.04922211170196533,train
79351,1,0.9171544313430786,train
34096,0,0.4392361640930176,train
25489,1,0.5603428483009338,train
19324,0,0.5660784840583801,train
79346,0,0.10266400873661041,train
13426,0,0.16224725544452667,train
97628,0,0.4278150200843811,train
14238,0,0.34897783398628235,train
28936,0,0.4397774040699005,train
59784,0,0.2575782835483551,train
2146,0,0.5270731449127197,train
70146,0,0.3246634900569916,train
28061,0,0.2747403681278229,train
97180,1,0.6344300508499146,train
49752,0,0.28269100189208984,train
25610,0,0.052618954330682755,train
15872,1,0.8708171844482422,train
72640,0,0.29879820346832275,train
64318,0,0.30466195940971375,train
17956,0,0.31986451148986816,train
93547,1,0.627266526222229,train
10743,0,0.22627031803131104,train
37091,0,0.4074513018131256,train
25719,0,0.13822896778583527,train
76825,0,0.04742587357759476,train
72598,0,0.3847387433052063,train
43078,0,0.19178137183189392,train
51846,0,0.7709825038909912,train
1569,0,0.5605233311653137,train
95812,0,0.11162799596786499,train
6418,0,0.44625335931777954,train
53976,0,0.5879431366920471,train
70193,0,0.731442391872406,train
60427,0,0.18374003469944,train
78395,0,0.22320769727230072,train
4876,0,0.29118236899375916,train
92075,0,0.2918883264064789,train
86354,0,0.16331197321414948,train
74386,1,0.5031813979148865,train
59613,1,0.9683213829994202,train
10263,0,0.14223189651966095,train
48279,0,0.48188045620918274,train
52610,1,0.6887825131416321,train
58371,0,0.09318170696496964,train
27401,0,0.4171527326107025,train
89574,0,0.18082882463932037,train
25473,0,0.4420342743396759,train
47913,0,0.40892571210861206,train
8295,0,0.1980641782283783,train
2497,0,0.23581157624721527,train
90471,1,0.9783847332000732,train
69357,0,0.24780535697937012,train
54602,1,0.7869504690170288,train
15320,0,0.38375675678253174,train
63182,0,0.2255871742963791,train
20619,1,0.9462003111839294,train
82457,0,0.11818139255046844,train
81059,0,0.5672175884246826,train
42137,0,0.16735471785068512,train
74530,1,0.9880388379096985,train
40832,0,0.21011726558208466,train
46127,0,0.4402586817741394,train
87594,0,0.45595553517341614,train
12548,0,0.47790437936782837,train
12894,0,0.18447348475456238,train
2476,0,0.2354598045349121,train
6937,1,0.9515940546989441,train
5762,0,0.1561049073934555,train
40259,0,0.242923304438591,train
85072,0,0.26549941301345825,train
46537,0,0.3158414661884308,train
56432,0,0.23757591843605042,train
39805,0,0.13951356709003448,train
29163,1,0.9675945043563843,train
36072,0,0.28736767172813416,train
60147,0,0.08897849172353745,train
90583,1,0.780829668045044,train
38612,0,0.3068385124206543,train
52097,1,0.9547319412231445,train
34961,0,0.4454692304134369,train
15803,1,0.9427180886268616,train
89762,0,0.7970833778381348,train
38465,0,0.1527891606092453,train
53289,0,0.10913478583097458,train
75321,1,0.8388118147850037,train
18350,0,0.4813014566898346,train
91547,0,0.07585817575454712,train
30247,0,0.27038389444351196,train
93741,0,0.45562246441841125,train
51243,0,0.20386600494384766,train
5384,0,0.4372827410697937,train
1845,0,0.5346428751945496,train
34791,1,0.5758265852928162,train
41385,0,0.40186384320259094,train
34508,1,0.9207897186279297,train
80521,0,0.4932064414024353,train
34165,0,0.4663594961166382,train
93072,1,0.5682361125946045,train
25468,1,0.6727617979049683,train
9617,0,0.13095079362392426,train
96258,1,0.5135846138000488,train
96578,1,0.9971216320991516,train
35618,0,0.13061773777008057,train
5249,0,0.2699987590312958,train
57349,0,0.35353976488113403,train
78409,1,0.7325918078422546,train
29814,1,0.8602518439292908,train
20568,0,0.0572819747030735,train
84269,1,0.4891984760761261,train
68079,1,0.42709800601005554,train
41537,1,0.6238353252410889,train
12890,0,0.25312182307243347,train
54102,1,0.9351099133491516,train
63217,0,0.30383506417274475,train
3271,0,0.12754392623901367,train
35264,0,0.37227699160575867,train
63710,1,0.40268567204475403,train
12348,0,0.10158944875001907,train
14052,0,0.18802562355995178,train
81064,0,0.16559311747550964,train
74391,0,0.20071429014205933,train
36152,0,0.4673621356487274,train
80256,0,0.0652465671300888,train
21948,0,0.18271701037883759,train
70532,0,0.16572809219360352,train
25806,0,0.12581531703472137,train
26759,1,0.3646644353866577,train
27398,0,0.48175859451293945,train
18730,0,0.43404144048690796,train
75216,0,0.4510846734046936,train
91754,0,0.5010719299316406,train
42153,0,0.21568095684051514,train
83456,1,0.9697281122207642,train
18673,0,0.19993209838867188,train
97523,0,0.07211220264434814,train
24631,1,0.6632328033447266,train
23748,0,0.16599830985069275,train
69412,0,0.18742996454238892,train
59073,0,0.11162799596786499,train
28405,0,0.4000460207462311,train
63492,0,0.41638126969337463,train
92670,0,0.10248421877622604,train
78351,1,0.9773275852203369,train
79856,0,0.053403329104185104,train
71436,0,0.693680465221405,train
3258,1,0.9326989054679871,train
20736,1,0.7841538190841675,train
50487,0,0.3363310694694519,train
6431,0,0.26530900597572327,train
51473,1,0.9682613611221313,train
34901,1,0.6865801811218262,train
28793,0,0.35042136907577515,train
5172,1,0.9947186708450317,train
98501,0,0.3729618489742279,train
96231,0,0.3030094802379608,train
81673,0,0.18198898434638977,train
48635,1,0.9697281122207642,train
43612,1,0.4657823443412781,train
15480,1,0.9967899918556213,train
41830,0,0.3005402386188507,train
81069,0,0.47285082936286926,train
72584,0,0.42865189909935,train
51763,1,0.7841538190841675,train
6873,1,0.8475897312164307,train
8523,1,0.9883127808570862,train
6359,0,0.757256269454956,train
93260,0,0.05480259656906128,train
40839,0,0.45753052830696106,train
8516,0,0.22712628543376923,train
53012,0,0.2091464400291443,train
76250,1,0.46314069628715515,train
26198,0,0.271831214427948,train
61952,0,0.446645587682724,train
80269,0,0.15662017464637756,train
5712,0,0.58521968126297,train
72941,0,0.17766815423965454,train
21853,0,0.46411213278770447,train
35219,1,0.5439233779907227,train
90146,0,0.26664361357688904,train
51278,0,0.4910898506641388,train
63095,0,0.2254166156053543,train
96058,0,0.3309035003185272,train
56871,1,0.6505782604217529,train
25180,1,0.9577545523643494,train
37259,0,0.19042274355888367,train
48106,1,0.9749646186828613,train
19352,0,0.4598643481731415,train
65213,0,0.16344544291496277,train
24368,0,0.1902722418308258,train
58426,0,0.14211279153823853,train
96785,0,0.42435234785079956,train
40567,0,0.11536139249801636,train
38625,1,0.9700134992599487,train
4823,0,0.15674923360347748,train
25368,1,0.9558166265487671,train
93826,0,0.24725967645645142,train
56392,0,0.23405630886554718,train
30986,0,0.3324187695980072,train
75823,0,0.20386600494384766,train
84072,0,0.24418270587921143,train
93147,0,0.280123770236969,train
92874,0,0.5284421443939209,train
27946,1,0.5135159492492676,train
93614,0,0.24328269064426422,train
93521,1,0.33111974596977234,train
2691,0,0.1589561253786087,train
91708,0,0.49027377367019653,train
25783,0,0.19528697431087494,train
16098,0,0.13443464040756226,train
30452,0,0.18787656724452972,train
86491,0,0.43344178795814514,train
14530,1,0.9979169964790344,train
81734,0,0.477615088224411,train
